gpu_model,benchmark_group,normalized_fps_1440p,new_price,new_cost_per_fps,newegg_link,price_updated
RX 9060 XT,modern,59.4,345.99,5.82,https://www.newegg.com/xfx-swift-rx-9060-xt-oc-triple-fan-radeon-rx-9060-xt-8gb-graphics-card-triple-fans/p/N82E16814150918,2026-03-06
RTX 3070,legacy,54.7,325.0,5.94,https://www.newegg.com/peladn-geforce-rtx-3070-8gb-graphics-card-double-fans/p/1FT-00EY-00033,2026-03-06
RX 7700 XT,modern,60.6,399.99,6.6,https://www.newegg.com/asrock-challenger-rx7700xt-cl-12go-radeon-rx-7700-xt-12gb-graphics-card-double-fans/p/N82E16814930109,2026-03-06
RTX 5060 Ti 8GB,modern,56.0,379.99,6.79,https://www.newegg.com/msi-rtx-5060-ti-8g-ventus-2x-oc-plus-geforce-rtx-5060-ti-8gb-graphics-card-double-fans/p/N82E16814137965,2026-03-06
Intel Arc B580,modern,42.6,289.99,6.81,https://www.newegg.com/onix-lumi-8346-00278-arc-b580-12gb-graphics-card-double-fans/p/N82E16814987002,2026-03-06
RX 6800 XT,legacy,69.7,499.0,7.16,https://www.newegg.com/yeston-rx6800xt-16gb-video-cards/p/27N-0042-000K2,2026-03-06
RX 6800,legacy,62.8,449.99,7.17,https://www.newegg.com/xfx-speedster-swft319-radeon-rx-6800-16gb-graphics-card-air-cooler/p/N82E16814150896,2026-03-06
RX 9070,modern,86.9,629.99,7.25,https://www.newegg.com/asrock-challenger-rx9070-cl-16g-radeon-rx-9070-16gb-graphics-card-triple-fans/p/N82E16814930138,2026-03-06
RX 7900 XT,modern,92.0,679.99,7.39,https://www.newegg.com/xfx-gaming-rx-79tmbabf9-radeon-rx-7900-xt-20gb-graphics-card-triple-fans/p/N82E16814150876,2026-03-06
RX 9070 XT,modern,98.3,729.99,7.43,https://www.newegg.com/asrock-challenger-rx9070xt-cl-16g-radeon-rx-9070-xt-16gb-graphics-card-triple-fans/p/N82E16814930145,2026-03-06
RTX 5060,modern,45.7,349.99,7.66,https://www.newegg.com/gigabyte-windforce-gv-n5060wf2oc-8gd-geforce-rtx-5060-8gb-graphics-card-double-fans/p/N82E16814932804,2026-03-06
RX 7800 XT,modern,69.0,549.99,7.97,https://www.newegg.com/powercolor-amd-rx-7800-xt-16gb-gddr6-video-cards/p/27N-000F-00127,2026-03-06
RTX 5070,modern,81.2,649.99,8.0,https://www.newegg.com/msi-rtx-5070-12g-shadow-2x-oc-geforce-rtx-5070-12gb-graphics-card-double-fans/p/N82E16814137944,2026-03-06
RTX 4070 Ti Super,modern,116.9,943.77,8.07,https://www.newegg.com/pny-technologies-inc-verto-vcg4070ts16tfxxpb1-o-geforce-rtx-4070-ti-super-16gb-graphics-card-triple-fans/p/N82E16814133866,2026-03-06
Intel Arc B570,modern,35.3,299.0,8.47,https://www.newegg.com/p/3GM-0001-00026,2026-03-06
RX 7900 GRE,modern,77.5,664.45,8.57,https://www.newegg.com/sapphire-tech-pure-7900gre-radeon-rx-7900-gre-16gb-graphics-card/p/27N-0005-00249,2026-03-06
RTX 5060 Ti 16GB,modern,62.3,549.99,8.83,https://www.newegg.com/gigabyte-gv-n506tgaming-oc-16gd-geforce-rtx-5060-ti-16gb-graphics-card-triple-fans/p/N82E16814932787,2026-03-06
Intel Arc A750,modern,30.9,279.0,9.03,https://www.newegg.com/p/3GM-0001-00020,2026-03-06
RTX 4070 Super,modern,79.7,735.0,9.22,https://www.newegg.com/gigabyte-windforce-gv-n407swf3oc-12gd-geforce-rtx-4070-super-12gb-graphics-card/p/N82E16814932683,2026-03-06
RTX 4070,modern,68.3,655.0,9.59,https://www.newegg.com/gigabyte-windforce-gv-n4070wf3oc-12gd-geforce-rtx-4070-12gb-graphics-card-triple-fans/p/N82E16814932611,2026-03-06
RTX 3060,modern,34.9,339.0,9.71,https://www.newegg.com/gigabyte-windforce-oc-gv-n3060wf2oc-12gd-rev2-0-geforce-rtx-3060-12gb-graphics-card-double-fans/p/N82E16814932658,2026-03-06
Intel Arc A770,modern,36.7,359.0,9.78,https://www.newegg.com/p/3GM-0001-00014,2026-03-06
RTX 4060 Ti 8GB,modern,49.3,489.0,9.92,https://www.newegg.com/asus-dual-rtx4060ti-o8g-evo-geforce-rtx-4060-ti-8gb-graphics-card-double-fans/p/1FT-000Y-00BP9,2026-03-06
RX 7600,modern,27.9,279.0,10.0,https://www.newegg.com/asrock-challenger-rx7600-cl-8go-radeon-rx-7600-8gb-graphics-card-double-fans/p/N82E16814930093,2026-03-06
RTX 3060 Ti,legacy,49.3,499.0,10.12,https://www.newegg.com/p/1FT-000A-00689,2026-03-06
RTX 3070 Ti,legacy,58.3,599.0,10.27,https://www.newegg.com/maxsun-icraft-geforce-rtx-3070-ti-8gb-graphics-card-triple-fans/p/1FT-009J-000C0,2026-03-06
RX 7900 XTX,modern,102.6,1066.03,10.39,https://www.newegg.com/sapphire-tech-pulse-11322-02-20g-radeon-rx-7900-xtx-24gb-graphics-card-triple-fans/p/N82E16814202429,2026-03-06
RTX 5070 Ti,modern,101.2,1059.99,10.47,https://www.newegg.com/gigabyte-gv-n507teagleoc-ice-16gd-geforce-rtx-5070-ti-16gb-graphics-card-triple-fans/p/N82E16814932769,2026-03-06
RTX 4070 Ti,modern,85.5,909.86,10.64,https://www.newegg.com/asus-rog-strix-rtx4070ti-o12g-gaming-geforce-rtx-4070-ti-12gb-graphics-card-triple-fans/p/N82E16814126604,2026-03-06
RX 6950 XT,legacy,77.5,829.99,10.71,https://www.newegg.com/asrock-oc-formula-rx6950xt-ocf-16g-radeon-rx-6950-xt-16gb-graphics-card-triple-fans/p/N82E16814930073,2026-03-06
Intel Arc A580,modern,27.8,299.99,10.79,https://www.newegg.com/asrock-challenger-b580-cl-12go-arc-b580-12gb-graphics-card-double-fans/p/N82E16814930131,2026-03-06
RTX 4060,modern,38.9,419.99,10.8,https://www.newegg.com/msi-rtx-4060-ventus-2x-black-8g-oc-geforce-rtx-4060-8gb-graphics-card-double-fans/p/N82E16814137804,2026-03-06
RX 6900 XT,legacy,71.8,799.0,11.13,https://www.newegg.com/asrock-phantom-gaming-d-rx6900xt-pgd-16go-radeon-rx-6900-xt-16gb-graphics-card-triple-fans/p/N82E16814930052,2026-03-06
RTX 5080,modern,111.7,1249.99,11.19,https://www.newegg.com/zotac-gaming-geforce-rtx-5080-solid-core-oc-16gb-graphics-card-triple-fans/p/N82E16814500604,2026-03-06
GTX 1080 Ti,legacy,35.3,399.0,11.3,https://www.newegg.com/p/1FT-0009-000T9,2026-03-06
RTX 3080,legacy,67.8,767.04,11.31,https://www.newegg.com/nvidia-900-1g133-2530-rf2-geforce-rtx-3080-10gb-graphics-card/p/N82E16814132098,2026-03-06
RX 7600 XT,modern,41.7,499.99,11.99,https://www.newegg.com/xfx-speedster-rx-76tswftfp-radeon-rx-7600-xt-16gb-graphics-card-double-fans/p/N82E16814150889,2026-03-06
RTX 4080,modern,103.7,1283.31,12.38,https://www.newegg.com/asus-proart-rtx4080-o16g-geforce-rtx-4080-16gb-graphics-card-triple-fans/p/N82E16814126664,2026-03-06
RTX 2080 Ti,legacy,53.2,695.0,13.06,https://www.newegg.com/zotac-zt-t20810a-10p-geforce-rtx-2080-ti-11gb-graphics-card-blower/p/N82E16814500451,2026-03-06
RTX 4060 Ti 16GB,modern,52.5,699.0,13.31,https://www.newegg.com/gigabyte-windforce-gv-n406twf2oc-16gd-geforce-rtx-4060-ti-16gb-graphics-card-double-fans/p/N82E16814932659,2026-03-06
RX 6600,modern,24.1,329.0,13.65,https://www.newegg.com/p/27N-0005-001X6,2026-03-06
RTX 4080 Super,modern,105.8,1499.99,14.18,https://www.newegg.com/asus-proart-rtx4080-16g-geforce-rtx-4080-16gb-video-cards-triple-fans/p/1FT-000Y-00C62,2026-03-06
RX 6600 XT,legacy,36.7,549.0,14.96,https://www.newegg.com/p/27N-000F-000K8,2026-03-06
RX 6700 XT,legacy,51.7,778.7,15.06,https://www.newegg.com/asrock-challenger-d-rx6700xt-cld-12g-radeon-rx-6700-xt-12gb-graphics-card-double-fans/p/N82E16814930056,2026-03-06
RX 6750 XT,legacy,54.3,825.55,15.2,https://www.newegg.com/asrock-phantom-gaming-d-rx6750xt-pgd-12go-radeon-rx-6750-xt-12gb-graphics-card-triple-fans/p/N82E16814930072,2026-03-06
RTX 3080 12GB,legacy,72.0,1095.0,15.21,https://www.newegg.com/msi-rtx-3080-ventus-3x-plus-12g-lhr-geforce-rtx-3080-12gb-graphics-card-triple-fans/p/N82E16814137764,2026-03-06
RTX 3080 Ti,legacy,73.1,1145.0,15.66,https://www.newegg.com/p/1FT-000M-003C4,2026-03-06
RX 6500 XT,legacy,12.7,199.62,15.72,https://www.newegg.com/gigabyte-gv-r65xteagle-4gd-radeon-rx-6500-xt-4gb-graphics-card-windforce-2x/p/N82E16814932492,2026-03-06
RX 6700 10GB,legacy,44.2,699.0,15.81,https://www.newegg.com/sapphire-tech-pulse-11321-02-20g-radeon-rx-6700-10gb-graphics-card-double-fans/p/N82E16814202424,2026-03-06
RTX 2080,legacy,44.5,725.0,16.29,https://www.newegg.com/asus-dual-rtx2080-8g-evo-geforce-rtx-2080-8gb-graphics-card-double-fans/p/N82E16814126340,2026-03-06
RTX 2060,legacy,28.2,469.0,16.63,https://www.newegg.com/gigabyte-gv-n2060wf2oc-6gd-r2-geforce-rtx-2060-6gb-graphics-card-windforce-2x/p/N82E16814932157,2026-03-06
RTX 2080 Super,legacy,46.5,799.0,17.18,https://www.newegg.com/msi-rtx-2080-super-ventus-oc-geforce-rtx-2080-super-8gb-graphics-card-double-fans/p/N82E16814137443,2026-03-06
RTX 2060 Super,legacy,34.0,588.0,17.29,https://www.newegg.com/pny-technologies-inc-geforce-rtx-2060-8gb-graphics-card/p/1FT-000P-003P0,2026-03-06
RTX 2070 Super,legacy,42.1,745.0,17.7,https://www.newegg.com/msi-rtx-2070-super-gaming-z-trio-geforce-rtx-2070-super-8gb-graphics-card-triple-fans/p/N82E16814137487,2026-03-06
RTX 2070,legacy,36.5,675.0,18.49,https://www.newegg.com/gigabyte-gv-n2070aorus-8gc-geforce-rtx-2070-8gb-graphics-card-windforce-stack/p/N82E16814932088,2026-03-06
RTX 3090,legacy,74.6,1510.2,20.24,https://www.newegg.com/nvidia-900-1g1362-5100-00-geforce-rtx-3090-24gb-graphics-card/p/1FT-0004-00842,2026-03-06
RTX 5090,modern,143.0,3599.99,25.17,https://www.newegg.com/zotac-rtx-5090-solid-oc-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814500639,2026-03-06
RTX 3090 Ti,legacy,79.3,1998.0,25.2,https://www.newegg.com/p/1FT-001K-00FE5,2026-03-06
RTX 4090,modern,126.6,3395.0,26.82,https://www.newegg.com/p/1FT-000A-00695,2026-03-06